MemberID,Customer ID,Classification
224433,103342,Surgical
324218,115197,Surgical
BALLAL002,140557,Surgical
CAMPBE179,90593,Surgical
CAOAAA013,119015,Surgical
CHANAA512,95108,Surgical
FITZGE096,221469,Surgical
FORSYT026,198950,Surgical
GRAYAA127,122134,Surgical
IBRAHI052,137529,Surgical
KARUNA029,120213,Surgical
LEEAAAC52,186932,Surgical
MOLLOY013,92964,Surgical
MOLONE017,119432,Surgical
PETRUS002,122765,Surgical
RAUFIA002,187340,Surgical
SMITHA482,88803,Surgical
WONGAAB09,225904,Surgical
224122,103186,Surgical
REECEA009,94603,Surgical
PLATTA007,187471,Surgical
DELPAC001,95142,Surgical
NGUAAA018,220375,Surgical
BAIMAT001,213059,Surgical
MCGLAD004,198981,Surgical
PERERA130,191545,Surgical
RAJEND030,213231,Surgical
SOLOMO034,213631,Surgical
320382,104424,GP
321660,104691,GP
322904,105456,GP
ABELLA007,167614,GP
ABEYKO002,140937,GP
ABRAHA060,191291,GP
AGUILA005,169024,GP
AKHTAR012,203978,GP
ALBATA001,199017,GP
ALIAAA119,214238,GP
ANANDA041,176206,GP
ANDERS254,143018,GP
ANTHON022,145920,GP
ARGENT011,153366,GP
ARMSTR083,156514,GP
ASHWAT001,153429,GP
AUNGAA083,236547,GP
AUNGAA085,236851,GP
AZZIAA005,133690,GP
BARCLA018,235231,GP
BARELA001,123092,GP
BARKER062,134511,GP
BARNET067,233561,GP
BASSET021,233564,GP
BATTER016,202782,GP
BHASKA010,187881,GP
BLIGHA007,236336,GP
BOSNJA001,163091,GP
BOTTAA008,171491,GP
BOWLES012,179726,GP
BRANDS006,143164,GP
BROWNI021,149777,GP
BRUNCK002,161669,GP
BULGER001,212715,GP
BUNNAA004,169621,GP
BURSTA004,135469,GP
BUTLER095,182404,GP
BUTTAA024,211002,GP
BYLOSA001,164750,GP
BYRNES015,155840,GP
CALDER021,185379,GP
CAMPBE229,175437,GP
CAOAAA016,135382,GP
CARRAA054,162483,GP
CARRAA054,162483,GP
CHANAA618,135961,GP
CHANAA681,161083,GP
